COMMON_NAME,BLD_ADDRESS,PARCEL_ADDRESS,STRUCTURE_TYPE,WARD,COMMUNITY,GLOBALID,MULTIPOLYGON
FIRE TRAINING DUTY GEAR ROOM,5811 23 AV SE,6015 23 AV SE,EMERGENCY SERVICE GARAGE/STORAGE,WARD 9,FOREST LAWN INDUSTRIAL,{E87890B6-390A-4459-B109-EC6593CC0284},"MULTIPOLYGON (((-113.9522439 51.0323491, -113.9521254 51.0323499, -113.9521268 51.0324411, -113.9522453 51.0324404, -113.9522439 51.0323491)))"
3219 31A AV SE HOUSING,3219 31A AV SE,3219 31A AV SE,HOUSING - DUPLEX,WARD 9,DOVER,{FB95F772-3FCA-41D6-B64C-671B3547CBB8},"MULTIPOLYGON (((-113.9874133 51.0253398, -113.9875168 51.0253406, -113.987518 51.0252773, -113.9875079 51.0252773, -113.9875088 51.0252325, -113.9874133 51.0252317, -113.9874133 51.0253398)))"
VALLEYVIEW SPRAY PARK OFFICE,3224 26 ST SE,3224 26 ST SE,DEPOT,WARD 9,DOVER,{06A09D1F-0B1E-4D10-9AF4-86EE33A130C1},"MULTIPOLYGON (((-113.9942261 51.0265454, -113.9941291 51.0265455, -113.994105 51.0265456, -113.9941053 51.0266317, -113.9941053 51.0266355, -113.9942264 51.0266354, -113.9942261 51.0265454)))"
MANCHESTER BUILDING X,651P 25 AV SE,651 25 AV SE,GENERAL STORAGE,WARD 9,MANCHESTER INDUSTRIAL,{91F7A495-8BD3-436B-8D70-D36ED241D312},"MULTIPOLYGON (((-114.0510798 51.0259385, -114.0511547 51.0258692, -114.0511298 51.0258585, -114.0511601 51.0258305, -114.0511095 51.0258087, -114.0510448 51.0258685, -114.0510237 51.0258594, -114.0509832 51.0258969, -114.0510798 51.0259385)))"
ZEBRA,1300 ZOO RD NE,1300 ZOO RD NE,SPECIALIZED ZOO BUILDINGS,WARD 9,BRIDGELAND/RIVERSIDE,{AC0E72B4-6CA3-4B02-8CF3-7738E0774A67},"MULTIPOLYGON (((-114.0274764 51.0436468, -114.0274739 51.0437298, -114.0276058 51.0437314, -114.0276083 51.0436484, -114.0274764 51.0436468)))"
CALGARY SOCCER CENTRE ANNEX,7000 48 ST SE,7000 48 ST SE,INDOOR PLAYING FIELD,WARD 9,FOOTHILLS,{B2FAE3D9-349E-491C-8012-F70F678101CC},"MULTIPOLYGON (((-113.9600803 50.9939701, -113.9609905 50.9939697, -113.9609904 50.9938959, -113.9610749 50.9938959, -113.9610738 50.9929978, -113.9609819 50.9929978, -113.9609818 50.9928733, -113.9606021 50.9928735, -113.9606022 50.9927195, -113.9604606 50.9927194, -113.9604605 50.9928735, -113.9600789 50.9928737, -113.9600803 50.9939701)))"
EAST CALGARY WMF BUILDING T,3050 68 ST SE,3020 68 ST SE,GARAGE (GA),WARD 9,09Q,{2B25C1B0-8EFA-417C-A5A0-9D036B2845D5},"MULTIPOLYGON (((-113.9326307 51.0267749, -113.9309696 51.0267742, -113.9309694 51.0268982, -113.9308363 51.0268982, -113.9308361 51.0270692, -113.9309593 51.0270692, -113.9309592 51.0271158, -113.9308507 51.0271158, -113.9308505 51.027293, -113.9309737 51.027293, -113.9309736 51.0273926, -113.9326052 51.0273933, -113.9326053 51.0272754, -113.9327336 51.0272754, -113.9327339 51.0269614, -113.9326305 51.0269614, -113.9326307 51.0267749)))"
3458 32A AV SE HOUSING,3458 32A AV SE,3456 32A AV SE,HOUSING - DUPLEX,WARD 9,DOVER,{DA30C6DD-726D-41F4-A63E-E8B4BDC666C4},"MULTIPOLYGON (((-113.982603 51.0248662, -113.9824996 51.0248665, -113.9825001 51.0249324, -113.9825087 51.0249324, -113.9825091 51.0249759, -113.9826058 51.0249756, -113.982603 51.0248662)))"
2722 76 AV SE HOUSING,2722 76 AV SE,2732 76 AV SE,HOUSING - TOWNHOUSE,WARD 9,OGDEN,{3F67B08C-94DA-4C6A-830D-23882B29E33C},"MULTIPOLYGON (((-113.9963778 50.9851872, -113.9962719 50.9851875, -113.9962719 50.9852923, -113.9963778 50.985292, -113.9963778 50.9851872)))"
IMPOUND LOT ADMIN BUILDING,400 39 AV SE,400 39 AV SE,ADMINISTRATION,WARD 9,MANCHESTER INDUSTRIAL,{3D8F8257-59FF-4253-A62B-C9BF15EEC9E0},"MULTIPOLYGON (((-114.0588933 51.0187419, -114.0589724 51.0186317, -114.0590208 51.0186455, -114.0591369 51.0184839, -114.05909 51.0184705, -114.0591917 51.018329, -114.0591471 51.0183162, -114.059158 51.0183009, -114.0590406 51.0182674, -114.0590291 51.0182833, -114.0589654 51.0182651, -114.0589202 51.018328, -114.0589492 51.0183363, -114.0586979 51.018686, -114.0588933 51.0187419)))"
